;OPERATEUR;ANNEE;FILIERE;CODE_IRIS;NOM_COMMUNE;ADRESSE;CODE_GRAND_SECTEUR;CONSO;PDL;latitude;longitude;id;score
413128;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;8 RUE FLEUR BEGNE;R;1,925173e+01;10;48.395594;2.955636;77305_0580_00008;0.8716736363636364
413129;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;2 RUE DES CHESNOIS;R;1,272325e+01;16;48.394762;2.956592;77305_0300_00002;0.8742181818181818
413130;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;1 RUE DU CLOS DION;R;2,115592e+01;10;48.394961;2.954135;77305_0320_00001;0.8697163636363635
413131;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;13 RUE ANATOLE FRANCE;R;3,492084e+01;20;48.396356;2.959827;77305_0005_00013;0.8662018181818182
413132;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;21 RUE DES CHESNOIS;R;1,711735e+01;10;48.396643;2.956398;77305_0300_00021;0.8742181818181818
413133;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;13 RUE DES CHESNOIS;R;1,719660e+01;10;48.395746;2.956404;77305_0300_00013;0.8742181818181818
413134;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;5 RUE DU CLOS DION;R;1,738593e+01;10;48.394961;2.954162;77305_0320_00005;0.8697163636363635
413135;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;24 RUE FLEUR BEGNE;R;1,788034e+01;10;48.395594;2.955744;77305_0580_00024;0.8716736363636364
413136;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;4 RUE DES CHESNOIS;R;1,358698e+01;10;48.394762;2.956606;77305_0300_00004;0.8742181818181818
413137;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;16 RUE DES GRES;R;1,889815e+01;10;48.395175;2.958184;77305_0730_00016;0.8689563636363636
413138;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;20 RUE FLEUR BEGNE;R;1,362558e+01;10;48.395594;2.955717;77305_0580_00020;0.8716736363636364
413139;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;8 RUE DES GRES;R;2,918836e+01;10;48.394699;2.95768;77305_0730_00008;0.8689563636363636
413140;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;19 RUE DES CHESNOIS;R;1,528034e+01;10;48.396643;2.956385;77305_0300_00019;0.8742181818181818
413141;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;1 RUE FLEUR BEGNE;R;1,482849e+01;10;48.395253;2.95527;77305_0580_00001;0.8716736363636364
413142;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;22 RUE FLEUR BEGNE;R;1,958401e+01;10;48.395594;2.955731;77305_0580_00022;0.8716736363636364
413143;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;25 RUE DES CHESNOIS;R;1,496954e+01;10;48.396643;2.956425;77305_0300_00025;0.8742181818181818
413144;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;1 RUE DES GRES;R;1,677458e+02;91;48.395133;2.957503;77305_0730_00001;0.8689563636363636
413145;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;27 RUE DES CHESNOIS;R;2,607854e+01;10;48.396643;2.956439;77305_0300_00027;0.8742181818181818
413146;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;10 RUE JULES FERRY;R;4,064791e+01;16;48.395686;2.957888;77305_0825_00010;0.8709354545454545
413147;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;3 RUE TRAVERSIERE;R;3,521089e+01;11;48.39544;2.958179;77305_1528_00003;0.863050909090909
413148;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;3 RUE DU CLOS DION;R;1,618196e+01;10;48.394961;2.954149;77305_0320_00003;0.8697163636363635
413149;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;3 RUE JEAN BOUIN;R;2,270975e+02;126;48.395674;2.953158;77305_0813_00003;0.8612081818181817
413150;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;19 RUE DU CLOS DION;R;1,588724e+01;10;48.394961;2.954257;77305_0320_00019;0.8697163636363635
413151;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;9 RUE ANATOLE FRANCE;R;2,765498e+01;20;48.396361;2.959615;77305_0005_00009;0.8662018181818182
413152;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;12 RUE DES GRES;R;2,191037e+01;10;48.394933;2.957929;77305_0730_00012;0.8689563636363636
413153;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;5 RUE FLEUR BEGNE;R;1,666642e+01;10;48.395481;2.95529;77305_0580_00005;0.8716736363636364
413154;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;1 AVENUE DE LA LIBERTE;T;7,996283e+01;1;48.395974;2.952185;77305_0875_00001;0.8721072727272726
413155;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;2 PLACE JEAN XXIII;T;3,533000e+00;1;48.387918;2.956356;77305_0410_00002;0.28860060606060606
413156;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;2 RUE DU CLOS DION;T;6,471886e+01;1;48.39519;2.954216;77305_0320_00002;0.8697163636363635
